Summoner_Name, Discord_ID, Server_ID, Rank, Tier,AccountId,Id
Yusukeeeee, 179334253002227712,152057225316270081,a,a,Db3ihiv3wVI-BrXNEEn4ExAmKsRwOFkfVGaPMMPMdJLy6w,zkvw1PJfcDn9WdzzlsXjz8FBLyUAOLXgg3gNAFeaE63-sEA
Yusukeeeee, 179334253002227712,249609103737880576,a,a,Db3ihiv3wVI-BrXNEEn4ExAmKsRwOFkfVGaPMMPMdJLy6w,zkvw1PJfcDn9WdzzlsXjz8FBLyUAOLXgg3gNAFeaE63-sEA
Guardanapkins, 260411088900849665,249609103737880576,a,a,rY4o7Z3JEkI2cearu6lrjsvwLp66ldhGxO2t2agJl4mTBg,3GVSu0LyFe8u-DoPqdBTx6l6jdRDlRccj06OhTTFrznvv9s
ODE TRIUNFAL, 222436783756017676,249609103737880576,a,a,LoQIK6RGqoa4VV0ucvSRCGE4SG38LjSAmupkybJKeSt3ODA,DbFXX1IJZH2flUlL8LaoMZ_D5ONdJb6yuOvUIGCBSliJVP8
Cara Mt Loko, 190917034173923328,249609103737880576,a,a,cXX9AKN1SitFK8Hb361UQmFFV9wKgReq6InbOUKpNTX_wag,Qx8CS1gdYRJ2I2uESLHB2tIoQS-PUkBh16ANokcL_k_8l_s
Cara Mt Loko, 190917034173923328,152057225316270081,a,a,cXX9AKN1SitFK8Hb361UQmFFV9wKgReq6InbOUKpNTX_wag,Qx8CS1gdYRJ2I2uESLHB2tIoQS-PUkBh16ANokcL_k_8l_s
MrVerdinsky, 231787245307297794,152057225316270081,a,a,pkwvK1dNfboyji6gfY_lq4_CysxZNuJRdN2AUNcm6aI6JNE,etj_ukPSn3bl7fsK0w2BR7_udJvypb4IrIfHEAQjD3SbGjI
Daskdadi, 150575793603477505,152057225316270081,a,a,g2wtemyhhmORdSVA1F1AwBMLFIFy5FrX16H_1PfA1mOqwJM0KliohimV,7zplWtFy4X9Hy4y4TRU2ND-n5Gqnk8qyeBgl0sroi7Srppw9
Jack Knives, 155258382557773825,152057225316270081,a,a,Pe1iAiolDwy7pbWnbWcRsjt18v9oW4CYhhKOucSWheNKoQ,tzvjCYWYu8fIiK0kNwvVmimHQE9s1IizhNZzN5vjCzt5mNM
MAST3R, 181219804537946112,152057225316270081,a,a,Ay8hsq_-jQ4te1g76rr_B7vh_Sb_rR-l0l5dNdo2MCyeQg8fLh-mdBsi,c2INBgSKEotdbOREdpnJ0CP6K0IMLs1zqZS6udTebiGuPDwz
